Source Substation ID,Source Substation Name,Target Substation ID,Target Substation Name,Line Name
175,Vegreville,177,Veteran,7L77
175,Vegreville,178,Vilna,7L92
176,Vermilion,18,Bonnyville,7L65
176,Vermilion,96,Kitscoty,7L129
176,Vermilion,127,Oyen,7L130
176,Vermilion,117,Monitor,7L117
177,Veteran,140,Ribstone Creek,7L79
178,Vilna,189,Whitbylake,7L92
179,Vulcan,52,East Stavely,180L
179,Vulcan,135,Queenstown,161L
180,Wainwright,75,Hansman Lake,704L
180,Wainwright,133,Pincher Creek,408L
181,Wardlow,93,Jenner,601L
182,Ware Junction,93,Jenner,951L
182,Ware Junction,2,Anderson,950L/9L950
182,Ware Junction,186,West Brooks,1075L
182,Ware Junction,93,Jenner,944L
182,Ware Junction,2,Anderson,934L/9L934
182,Ware Junction,2,Anderson,933L/9L933
182,Ware Junction,29,Cassils,1053L
182,Ware Junction,186,West Brooks,931L
183,Warner,158,Stirling,508L
184,Waterton,152,Shell Waterton,591L
184,Waterton,133,Pincher Creek,185L
185,Watt Lake,21,Briker,7LA92
186,West Brooks,169,Tilley,666L
186,West Brooks,135,Queenstown,853L
186,West Brooks,159,Strathmore,763L
186,West Brooks,49,Cypress,827L
186,West Brooks,29,Cassils,1051L
186,West Brooks,37,Chin Chute,814L
186,West Brooks,29,Cassils,1052L
186,West Brooks,120,Newell,1075L
186,West Brooks,182,Ware Junction,931L
187,Westfield,27,Burdett,722L
188,Wheatland,194,Wintering Hills,7L153
189,Whitbylake,22,Brooks,794L/7L794
189,Whitbylake,96,Kitscoty,7L139
189,Whitbylake,83,Highland,7L92
190,Whitla,67,Goose Lake,983L
190,Whitla,14,Black Diamond,1148L
190,Whitla,75,Hansman Lake,964L
191,Windrise,192,Windy Flats,497L
192,Windy Flats,60,Foothills,1037L
192,Windy Flats,60,Foothills,1038L
192,Windy Flats,3,Ardenville Wind Farm,608L
192,Windy Flats,130,Peigan,1048L
192,Windy Flats,153,Soderglen,603L
192,Windy Flats,123,North Lethbridge,967L
192,Windy Flats,123,North Lethbridge,968L
192,Windy Flats,130,Peigan,1049L
192,Windy Flats,88,Hull,497L
193,Windy Point,58,Fidler,893AL
194,Wintering Hills,75,Hansman Lake,7L171
194,Wintering Hills,168,Three Hills,7L153
194,Wintering Hills,4,Badlands,7L85
195,Woolchester,19,Bowmanton,983AL
196,Wyndham,28,Carseland,782L
197,Youngstown,141,Richdale,6L09
198,Youngstown Express,45,Coronation,6L21
199,na,60,Foothills,1106L
199,na,150,Shamrock,1107L
